shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
哞哞碳烤羊腿(和平新兴路店),4.7,174.0,98.0,鞍山道沿线,烤羊腿,和平区
Akalaka啊咔啦咔韩国料理(吉利大厦店),4.8,5987.0,70.0,滨江道,韩国料理,和平区
盛和道铁板烧·日式放题,4.5,1589.0,321.0,海光寺/六里台,日式自助,和平区
四喜路螺蛳粉,4.4,152.0,26.0,小白楼,小吃快餐,和平区
雲山料理(成都道店),4.8,2183.0,157.0,五大道,日本料理,和平区
观宴·海鲜美学主题自助餐厅,4.5,7758.0,448.0,小白楼,自助餐,和平区
德顺延边烤肉·宵夜(和平店),4.3,367.0,60.0,南市,韩式烤肉,和平区
木屋烧烤(海光寺店),4.7,6569.0,85.0,鞍山道沿线,烤串,和平区
羊老赞火锅(云南路店),4.3,161.0,76.0,西康路沿线,牛羊肉火锅,和平区
大厨小串鸽子大王(万德庄店),4.0,76.0,58.0,海光寺/六里台,烤串,和平区
瑶·日式烧食,4.6,139.0,120.0,小白楼,日式烧烤/烤肉,和平区
倍儿硬可脆皮烤肉,4.7,315.0,35.0,滨江道,炙子烤肉,和平区
沧海書院·境界素食,4.8,73.0,228.0,海光寺/六里台,素食,和平区
北李妈妈菜(和平大悦城店),4.8,5171.0,77.0,滨江道,东北菜,和平区
1981时尚西餐厅(海信店),4.8,1430.0,199.0,小白楼,西餐,和平区
陈家屯火锅鸡(万德庄网红店),4.6,988.0,78.0,海光寺/六里台,炭火锅,和平区
赵财记·肠粉·煲仔饭(国贸店),4.4,62.0,33.0,小白楼,广州菜,和平区
阿甘粤菜馆(五大道店),4.6,455.0,93.0,五大道,粤菜馆,和平区
小龙坎火锅(荣业大街店),4.4,1051.0,109.0,南市,四川火锅,和平区
二姐家三个拿手菜(红磡大道店),4.4,476.0,57.0,海光寺/六里台,家常菜,和平区
韩时烤肉(天津天河城店),4.8,3958.0,96.0,和平路,韩式烤肉,和平区
湘芸(天河城店),4.3,109.0,85.0,和平路,湘菜,和平区
下江腩牛腩火锅(天津和平区店),4.2,77.0,76.0,小白楼,潮汕牛肉火锅,和平区
寻蜜,4.9,494.0,69.0,五大道,私房菜,和平区
青年公社(伊势丹店),4.7,7028.0,88.0,滨江道,烤鸭,和平区
买又大餐厅(沙市道店),4.5,2910.0,38.0,五大道,津味小吃,和平区
Meet Sun韩式大排档한식포차(天津滨江道店),4.8,218.0,74.0,滨江道,韩国料理,和平区
绿色庄园(红磡店),4.7,7265.0,86.0,海光寺/六里台,韩国料理,和平区
状元菜(滨江道店),4.4,319.0,52.0,滨江道,天津菜,和平区
鸡本无敌·炒鸡客江湖菜(五大道店),4.8,1263.0,88.0,五大道,川菜馆,和平区
鸟禾割烹料理,4.8,1561.0,164.0,鞍山道沿线,日本料理,和平区
芳竹园火锅(乐宾店),4.8,1827.0,64.0,滨江道,四川火锅,和平区
成桂西餐厅(河北路店),4.6,3266.0,220.0,五大道,西餐,和平区
七家哥贰店烤肉,4.7,594.0,108.0,滨江道,韩式烤肉,和平区
高胖妹面庄(滨江道店),4.8,1217.0,39.0,滨江道,面馆,和平区
喜在山舍·老宅吊锅·川卤酒馆(天河城店),4.8,2310.0,116.0,和平路,重庆火锅,和平区
蝎王府羊蝎子(荣业大街店),4.7,1237.0,105.0,南市,羊蝎子火锅,和平区
二姐家三个拿手菜(岳阳道店),4.5,345.0,63.0,五大道,家常菜,和平区
太兴餐厅(天河城店),4.7,3386.0,77.0,和平路,茶餐厅,和平区
大西家(鞍山道店),4.4,2042.0,63.0,鞍山道沿线,日式简餐/快餐,和平区
欣火锅·烧菜火锅创导店,4.5,496.0,91.0,西康路沿线,重庆火锅,和平区
Kim’s kitchen欧巴火锅炸鸡啤酒(友谊新天地店),4.9,2959.0,68.0,滨江道,韩国料理,和平区
天天鲜潮汕牛肉火锅,4.8,539.0,99.0,和平路,潮汕牛肉火锅,和平区
