shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
椒媚川菜.水煮鱼,4.8,6128,90,滨江道,酸菜鱼/水煮鱼,和平区
芳竹园火锅,4.9,467,64,滨江道,火锅,和平区
老金铜锅涮羊肉·烧烤,4.0,1010,66,南市,火锅,和平区
芳竹园火锅,4.9,3273,68,滨江道,火锅,和平区
肥猫烤翅,4.6,10303,55,滨江道,烤翅,和平区
野紫苏日式火锅•放题,4.8,2913,145,南市,自助餐,和平区
Laksa House 叻唦之屋,4.5,2695,47,滨江道,东南亚菜,和平区
鑫海汇烤肉海鲜自助,4.7,33710,70,滨江道,自助餐,和平区
竹藏日本料理,4.7,707,167,小白楼,日本料理,和平区
鱻伊家,4.9,287,73,鞍山道沿线,日本料理,和平区
唐拉雅秀酒店-唐苑中餐厅,4.5,419,111,滨江道,粤菜馆,和平区
不二大虾火锅,4.8,180,71,和平路,火锅,和平区
东方之珠粤味海鲜城,4.4,3617,97,五大道,粤菜馆,和平区
觅思特铁板鸡,4.8,252,66,滨江道,韩国料理,和平区
炙上烤肉,4.5,271,72,滨江道,融合烤肉,和平区
牛华巷·明炉牛腩煲,4.1,30,50,南市,火锅,和平区
狗不理大酒店,4.0,3461,124,和平路,天津菜,和平区
食度·猪肚鸡火锅,4.8,1501,115,和平路,火锅,和平区
木村·京都Omakase料理,4.9,794,1525,滨江道,日本料理,和平区
天津大学四十二斋餐厅,4.6,900,51,海光寺/六里台,天津菜,和平区
鲸岚·酩町中式酒馆,4.8,1637,97,滨江道,融合烤肉,和平区
懒人瞎吃,4.6,338,41,滨江道,其他美食,和平区
峰豪食府,4.2,225,60,海光寺/六里台,特色菜,和平区
王婆大虾,4.3,721,63,海光寺/六里台,火锅,和平区
稻吉深夜酒场·烧鸟,4.9,991,125,和平路,日本料理,和平区
Turka土耳咖·Gourmet,4.8,489,85,和平路,西餐,和平区
烧江南烤肉,4.7,1311,122,和平路,融合烤肉,和平区
半天妖烤鱼,4.9,1839,67,南市,烤鱼,和平区
杨小涛跷脚牛肉面,4.5,2711,41,小白楼,面馆,和平区
盛茂祥砂锅,4.7,628,30,小白楼,天津菜,和平区
首跑蹄儿餐厅,4.7,2162,88,南市,韩国料理,和平区
刀叉遇上筷子·夜宵,4.9,6771,91,滨江道,西餐,和平区
三合醉串酒场,4.8,495,172,南市,日本料理,和平区
热啊餐厅东南亚美食,4.6,4164,77,滨江道,南洋中菜,和平区
王婆大虾,4.4,1582,78,滨江道,火锅,和平区
大千炉匠·日料全餐,4.5,41,116,五大道,日本料理,和平区
1618清真公馆,4.1,1030,230,五大道,私房菜,和平区
渔鸽仔·烧烤乳鸽海鲜·夜宵,4.5,100,107,五大道,烤串,和平区
哥凹糕,4.3,1559,32,滨江道,甜品,和平区
辣小二脆毛肚火锅,4.8,1236,103,海光寺/六里台,火锅,和平区
粤秀小厨,4.5,1399,99,滨江道,粤菜馆,和平区
牛庵·M12-Class和牛烤肉料理,4.8,2163,252,和平路,融合烤肉,和平区
家兴餐厅,4.7,543,71,和平路,天津菜,和平区
鱼酷活鱼烤鱼,4.8,4648,94,滨江道,烤鱼,和平区
九田家黑牛烤肉料理,4.8,2424,106,滨江道,韩国料理,和平区
拐枣巷很成都,4.8,1953,76,滨江道,串串香,和平区
尚渔味双拼烤鱼,4.7,441,84,海光寺/六里台,烤鱼,和平区
那虎妞炒鸡,4.8,546,50,滨江道,创意菜,和平区
日牛涮涮锅·和牛寿喜烧日式放题,4.5,2617,130,滨江道,日本料理,和平区
胖哥鸡肉串·怪味火锅鸡,4.2,108,50,西康路沿线,烤串,和平区
花田居酒屋,4.9,1812,154,滨江道,日本料理,和平区
珑隆家·串串遇上锅儿,4.9,1165,61,西康路沿线,串串香,和平区
囍er· SEAR STEAK GRILL & BAR,4.8,93,357,鞍山道沿线,牛排,和平区
康太太沙茶面,4.4,298,41,滨江道,小吃快餐,和平区
芳焰称盘干拌麻辣烫,4.7,246,60,和平路,火锅,和平区
悦林湾卢渔翁鲜焖纸包鱼,4.8,603,69,海光寺/六里台,烤鱼,和平区
茉莉精品火锅姿造,4.5,229,135,五大道,火锅,和平区
山上下日式烤肉,4.3,93,142,滨江道,日本料理,和平区
大吉利·潮汕牛肉火锅,4.8,2859,93,海光寺/六里台,火锅,和平区
BETTERBURGERS,4.6,143,60,五大道,西餐,和平区
五福全蟹宴·传胪中式茶餐厅,4.2,482,144,小白楼,茶餐厅,和平区
bluefrog蓝蛙,4.8,4163,161,和平路,西餐,和平区
港隆八十六號,4.5,950,48,滨江道,茶餐厅,和平区
蚝吉利生蚝火锅,4.5,71,138,和平路,火锅,和平区
天空厨房·铁板烧,4.6,832,91,滨江道,日本料理,和平区
乐处·招牌鹅肝饭料理店,4.9,1358,154,滨江道,日本料理,和平区
隐樂門•盛唐融合火锅,4.3,84,78,西康路沿线,火锅,和平区
炉石六本目炉端烧専門店,4.9,4788,181,五大道,日本料理,和平区
潮伦·音乐海鲜自助火锅,4.0,128,101,滨江道,自助餐,和平区
马路边边串串香,4.9,1860,88,五大道,串串香,和平区
木屋烧烤,4.6,810,86,海光寺/六里台,烤串,和平区
阿蔵居酒屋AGURA,4.9,3226,279,五大道,日本料理,和平区
海石湾·清真Traveler,4.9,3810,94,滨江道,西餐,和平区
胜家·日式炸猪排,4.9,1740,74,和平路,日本料理,和平区
黄尚客牛排自助餐厅,4.3,866,66,和平路,自助餐,和平区
芊队长串串香火锅,4.6,153,76,鞍山道沿线,自助餐,和平区
觅·归觅海南椰子鸡,4.5,788,92,和平路,火锅,和平区
彭慶福茶楼,4.5,1056,65,和平路,粤式茶点,和平区
八采烧肉,4.5,322,141,小白楼,日本料理,和平区
酥侯糕点,4.3,219,44,海光寺/六里台,面包烘焙,和平区
东来顺饭庄,4.4,1061,86,南市,火锅,和平区
吴记糕干,4.5,1539,16,鞍山道沿线,面包烘焙,和平区
大胡子•海鲜烧烤大排档,4.2,4369,80,五大道,烤串,和平区
九龍冰室,4.5,437,68,南市,茶餐厅,和平区
小牛回家·闽南牛肉汤火锅,4.6,160,60,海光寺/六里台,火锅,和平区
Nice to meet you 很高兴认识你法餐&生蚝吧,4.7,2243,335,五大道,西餐,和平区
火鳳祥鲜货火锅,4.7,2848,121,和平路,火锅,和平区
32坐炖涮锅滨江道店,4.7,83,54,滨江道,特色菜,和平区
韩寿参鸡汤,4.5,569,77,和平路,韩国料理,和平区
鱼酷活鱼烤鱼,4.9,1198,94,五大道,烤鱼,和平区
董家湾重庆老火锅,4.7,10267,90,滨江道,火锅,和平区
三搭火市井火锅,4.6,1231,61,滨江道,火锅,和平区
CoCo都可,4.7,1042,14,五大道,茶饮果汁,和平区
NO.55 WINERY,4.5,447,161,小白楼,西餐,和平区
满记甜品,4.6,2746,40,和平路,甜品,和平区
BON CAKE,4.7,2256,169,滨江道,面包烘焙,和平区
老丰阁品味上海,4.7,995,238,五大道,上海本帮菜,和平区
CoCo都可,4.6,104,18,南市,茶饮果汁,和平区
袁记幺哥串串香·秤盘麻辣烫,4.7,288,63,五大道,串串香,和平区
巧二妹螺蛳粉,4.6,2210,23,滨江道,小吃快餐,和平区
松澤日本料理,4.6,756,197,和平路,日本料理,和平区
好利来,4.7,1175,54,滨江道,面包烘焙,和平区
多乐之日,4.6,2857,43,滨江道,面包烘焙,和平区
叁谷匠造,4.6,704,37,滨江道,面包烘焙,和平区
二人锅,4.6,3488,77,滨江道,火锅,和平区
茶百道,4.6,110,18,滨江道,茶饮果汁,和平区
老沧州火锅鸡,4.6,803,50,海光寺/六里台,火锅,和平区
呷哺呷哺,4.6,1224,69,滨江道,火锅,和平区
耳朵眼·中式点心,4.6,396,19,和平路,面包烘焙,和平区
富士町精致料理和牛烧肉,4.6,369,115,滨江道,日本料理,和平区
炉鱼,4.7,10016,86,和平路,烤鱼,和平区
么么果茶,4.5,196,15,和平路,茶饮果汁,和平区
沪上阿姨鲜果茶,4.5,490,14,和平路,茶饮果汁,和平区
怪之味烤鱼,4.7,7606,52,滨江道,烤鱼,和平区
Slow Life 私家手工烘焙,4.5,302,169,南市,面包烘焙,和平区
橘园·和菓子,4.6,514,84,五大道,甜品,和平区
捷信牛奶甜品世家,4.6,2002,30,海光寺/六里台,甜品,和平区
超级馥糯热狗,4.6,1496,23,滨江道,韩国料理,和平区
原麦山丘,4.6,1250,41,和平路,面包烘焙,和平区
阿甘锅盔,4.6,1241,14,南市,小吃快餐,和平区
椿风·养生茶饮,4.5,1525,22,南市,茶饮果汁,和平区
米拉诺意式餐厅Milano Studio,4.5,76,130,和平路,西餐,和平区
烤货•鲜拌烤肉更好吃,4.6,1332,64,滨江道,融合烤肉,和平区
起士林蛋糕,4.7,2291,98,五大道,面包烘焙,和平区
pool pool,4.5,124,24,滨江道,冰淇淋,和平区
汴梁徐先生厚切炒酸奶,4.5,642,21,海光寺/六里台,冰淇淋,和平区
蜜雪冰城,4.5,583,6,小白楼,茶饮果汁,和平区
堇·花食 PansyFlower西餐,4.7,2315,100,滨江道,西餐,和平区
祥禾饽饽铺•中式点心,4.7,653,64,五大道,面包烘焙,和平区
红姐麻辣拌炸串,4.5,3708,26,滨江道,麻辣烫,和平区
法颂,4.5,906,81,小白楼,面包烘焙,和平区
喜茶,4.7,5975,30,滨江道,茶饮果汁,和平区
野木花园·日式牛肉火锅,4.7,2310,86,和平路,日本料理,和平区
原麦山丘,4.7,3917,45,滨江道,面包烘焙,和平区
富贵屋·鳗割烹Fukiya,4.7,262,124,五大道,日本料理,和平区
娃哈哈奶茶,4.6,334,15,滨江道,茶饮果汁,和平区
BITTER SWEETIE比她甜,4.5,1160,55,五大道,甜品,和平区
Lava牛排扒房•葡萄酒&威士忌酒吧,4.6,104,328,西康路沿线,西餐,和平区
争鲜回转寿司,4.5,3728,65,和平路,日本料理,和平区
沉鱼蟹院•蟹黄面,4.5,942,195,滨江道,面馆,和平区
呷哺呷哺,4.6,1274,83,小白楼,火锅,和平区
永吉柳州螺蛳粉,4.5,123,18,滨江道,小吃快餐,和平区
龟户二丁目日本料理,4.7,1453,183,滨江道,日本料理,和平区
法颂FOZOON,4.6,793,40,滨江道,面包烘焙,和平区
圆真真·手作嚼感鲜茶,4.5,45,16,滨江道,茶饮果汁,和平区
蚝吉利生蚝火锅,4.5,367,122,和平路,火锅,和平区
荷田水铺·养生茶汤,4.6,97,13,滨江道,茶饮果汁,和平区
好利来,4.7,996,45,小白楼,面包烘焙,和平区
